transformation_code,variable,variable_field,variable_trajectory_group
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_coal,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_coke,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_diesel,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_electricity,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_furnace_gas,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_gasoline,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_hydrocarbon_gas_liquids,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_hydrogen,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_kerosene,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_natural_gas,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_oil,10
TX:INEN:INC_EFFICIENCY_ENERGY,Average Industrial Energy Fuel Efficiency Factor,efficfactor_enfu_industrial_energy_fuel_solar,10
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_cement,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_chemicals,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_electronics,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_glass,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_lime_and_carbonite,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_metals,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_mining,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_other_product_manufacturing,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_paper,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_plastic,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_glass,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_metals,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_paper,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_plastic,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_rubber_and_leather,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_textiles,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_recycled_wood,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_rubber_and_leather,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_textiles,11
TX:INEN:INC_EFFICIENCY_PRODUCTION,Industrial Energy Demand Scalar,scalar_inen_energy_demand_wood,11
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_agriculture_and_livestock_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_agriculture_and_livestock_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_agriculture_and_livestock_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_agriculture_and_livestock_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_agriculture_and_livestock_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_agriculture_and_livestock_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_cement_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_cement_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_cement_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_cement_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_cement_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_cement_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_cement_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_cement_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_cement_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_cement_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_chemicals_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_chemicals_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_chemicals_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_chemicals_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_chemicals_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_chemicals_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_chemicals_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_chemicals_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_electronics_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_electronics_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_electronics_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_electronics_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_electronics_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_electronics_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_electronics_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_glass_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_glass_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_glass_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_glass_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_glass_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_glass_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_glass_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_glass_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_glass_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_glass_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_lime_and_carbonite_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_lime_and_carbonite_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_lime_and_carbonite_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_lime_and_carbonite_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_lime_and_carbonite_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_lime_and_carbonite_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_lime_and_carbonite_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_lime_and_carbonite_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_lime_and_carbonite_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_lime_and_carbonite_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_metals_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_metals_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_metals_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_metals_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_metals_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_metals_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_metals_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_mining_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_mining_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_mining_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_mining_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_mining_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_mining_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_other_product_manufacturing_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_other_product_manufacturing_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_other_product_manufacturing_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_other_product_manufacturing_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_other_product_manufacturing_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_other_product_manufacturing_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_other_product_manufacturing_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_other_product_manufacturing_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_other_product_manufacturing_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_paper_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_paper_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_paper_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_paper_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solar,frac_inen_energy_paper_solar,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_paper_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_plastic_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_plastic_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_plastic_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_plastic_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_plastic_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_recycled_glass_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_recycled_glass_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_recycled_glass_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_glass_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_glass_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_recycled_glass_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_glass_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_recycled_glass_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_recycled_glass_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_recycled_metals_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_recycled_metals_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_metals_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_metals_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_metals_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_recycled_metals_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_paper_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_paper_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Hydrogen,frac_inen_energy_recycled_paper_hydrogen,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_paper_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solar,frac_inen_energy_recycled_paper_solar,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_recycled_paper_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_recycled_plastic_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_plastic_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_recycled_plastic_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_plastic_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_recycled_plastic_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_recycled_rubber_and_leather_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_rubber_and_leather_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_rubber_and_leather_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_recycled_rubber_and_leather_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_rubber_and_leather_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_recycled_rubber_and_leather_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_textiles_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_textiles_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_textiles_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_recycled_wood_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_recycled_wood_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_recycled_wood_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_recycled_wood_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_recycled_wood_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_recycled_wood_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_recycled_wood_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_recycled_wood_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_recycled_wood_solid_biomass,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_rubber_and_leather_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_rubber_and_leather_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_rubber_and_leather_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_rubber_and_leather_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_rubber_and_leather_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_rubber_and_leather_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_textiles_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_textiles_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_textiles_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coal,frac_inen_energy_wood_coal,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Coke,frac_inen_energy_wood_coke,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Diesel,frac_inen_energy_wood_diesel,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Electricity,frac_inen_energy_wood_electricity,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Furnace Gas,frac_inen_energy_wood_furnace_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Gasoline,frac_inen_energy_wood_gasoline,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Natural Gas,frac_inen_energy_wood_natural_gas,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Oil,frac_inen_energy_wood_oil,12
TX:INEN:SHIFT_FUEL_HEAT,Industrial Energy Fuel Fraction Solid Biomass,frac_inen_energy_wood_solid_biomass,12
TX:IPPU:DEC_CLINKER,Clinker Fraction of Cement,frac_ippu_cement_clinker,13
TX:IPPU:DEC_HFCS,HFC-143a GDP Product Use Emission Factor,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,14
TX:IPPU:DEC_HFCS,HFC-125 GDP Product Use Emission Factor,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,14
TX:IPPU:DEC_HFCS,HFC-125 GDP Product Use Emission Factor,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,14
TX:IPPU:DEC_HFCS,HFC-236fa GDP Product Use Emission Factor,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,14
TX:IPPU:DEC_HFCS,HFC-236fa GDP Product Use Emission Factor,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,14
TX:IPPU:DEC_HFCS,HFC-32 GDP Product Use Emission Factor,ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration,14
TX:IPPU:DEC_HFCS,HFC-32 Production Process Emission Factor,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,14
